country,original_title,year,genre,avg_vote,votes,worlwide_gross_income
France,Darling,2007,Biography,6.7,412,1206498.0
Russia,1812. Ulanskaya ballada,2012,Adventure,2.3,343,1206794.0
UK,Fast Girls,2012,Drama,6.2,3289,1207241.0
UK,Africa United,2010,Adventure,6.5,1366,1207592.0
Brazil,Hoje Eu Quero Voltar Sozinho,2014,Drama,7.9,22344,1207841.0
France,Filles uniques,2003,Comedy,6.2,375,1208002.0
Switzerland,Ceux qui travaillent,2018,Drama,7.0,598,1208371.0
Singapore,23:59,2011,Horror,4.6,802,1208479.0
Japan,Kûki ningyô,2009,Drama,6.9,6005,1208769.0
Hong Kong,Ching yi ngor sum gi,2005,Comedy,6.0,184,1208806.0
Poland,Janosik. Prawdziwa historia,2009,Drama,4.9,680,1209220.0
Portugal,Amália,2008,Biography,6.4,690,1209841.0
India,Kochadaiiyaan,2014,Animation,6.3,4720,1210580.0
Austria,Bad Fucking,2013,Comedy,5.3,379,1211256.0
Netherlands,De dirigent,2018,Biography,7.2,1987,1211394.0
France,Ils sont partout,2016,Comedy,5.3,1231,1211744.0
South Korea,Jopog manura,2001,Action,6.4,3082,1211843.0
Argentina,Infancia clandestina,2011,Drama,7.0,2347,1212354.0
USA,A Time of Destiny,1988,Drama,5.1,345,1212487.0
USA,Empire State,2013,Crime,5.2,19399,1212500.0
Brazil,Quincas Berro d'Água,2010,Comedy,6.4,483,1212639.0
USA,Woman Thou Art Loosed: On the 7th Day,2012,Drama,5.0,584,1213128.0
Turkey,Polis,2007,Action,6.7,5626,1213576.0
Finland,Päätalo,2008,Biography,6.3,225,1213676.0
Brazil,O Guerreiro Didi e a Ninja Lili,2008,Comedy,2.5,131,1213704.0
Mexico,Chicuarotes,2019,Drama,6.7,1711,1213841.0
France,L'emploi du temps,2001,Drama,7.4,4592,1213913.0
UK,Noble,2014,Biography,6.8,1520,1213927.0
Mexico,Santos peregrinos,2004,Comedy,4.3,112,1214190.0
UK,The General,1998,Biography,7.3,8006,1214198.0
Brazil,Xuxa em Sonho de Menina,2007,Family,1.8,162,1214211.0
Thailand,Loong Boonmee raleuk chat,2010,Drama,6.7,13488,1214424.0
Thailand,Jan Dara Pachimmabot,2013,Drama,5.5,424,1214517.0
India,Nehlle Pe Dehlla,2007,Action,3.8,463,1214808.0
Russia,Tri mushketera,2013,Adventure,3.6,231,1214919.0
India,Nikka Zaildar 3,2019,Comedy,4.0,219,1215304.0
Japan,Hana no ato,2010,Action,6.8,231,1215412.0
Canada,Mission Kathmandu: The Adventures of Nelly & Simon,2017,Animation,5.0,323,1215413.0
Hong Kong,Yi ngoi,2009,Mystery,6.6,2924,1215542.0
France,La marque des anges - Miserere,2013,Thriller,5.7,1077,1215557.0
UK,Dreamchild,1985,Biography,6.8,1433,1215923.0
USA,Barbie: Star Light Adventure,2016,Animation,5.9,559,1216246.0
Japan,Omae umasoudana,2010,Animation,7.3,608,1216304.0
India,Just Married: Marriage Was Only the Beginning!,2007,Comedy,5.3,462,1216528.0
Sweden,Lilla Jönssonligan och stjärnkuppen,2006,Family,2.7,398,1216608.0
Finland,Lupaus,2005,Drama,6.4,763,1216995.0
France,Le mari de la coiffeuse,1990,Comedy,7.2,8881,1217084.0
Brazil,Reza a Lenda,2016,Action,5.4,514,1217201.0
Netherlands,Alles is zoals het zou moeten zijn,2020,Comedy,5.8,127,1217229.0
Germany,Die Abenteuer des Huck Finn,2012,Adventure,5.8,279,1217451.0
France,L'enfant d'en haut,2012,Crime,7.1,6148,1218174.0
Czech Republic,Roming,2007,Comedy,6.0,609,1218251.0
USA,Without You I'm Nothing,1990,Comedy,6.7,460,1218730.0
France,K.O.,2017,Thriller,5.5,465,1219858.0
USA,Seraphim Falls,2006,Action,6.7,29044,1220058.0
Brazil,As Melhores Coisas do Mundo,2010,Comedy,7.2,1482,1220116.0
Spain,Volando voy,2006,Drama,6.3,369,1220523.0
Germany,Der Geschmack von Apfelkernen,2013,Drama,5.8,248,1220549.0
USA,A Million to Juan,1994,Comedy,5.6,743,1220842.0
France,Le défi,2002,Musical,5.4,130,1221230.0
USA,Mr. North,1988,Comedy,5.9,1207,1221366.0
Italy,Zorro,1975,Action,6.5,3041,1221944.0
Turkey,Eve Dönüs,2006,Drama,6.8,1722,1222132.0
Poland,Dom zly,2009,Crime,7.4,4074,1222530.0
Iran,Derakula,2016,Adventure,3.6,533,1222608.0
Japan,Tengoku no honya - koibi,2004,Drama,6.6,314,1222765.0
USA,One Tough Cop,1998,Action,5.2,1148,1223034.0
UK,Blackball,2003,Comedy,5.6,3967,1223155.0
USA,The Lonely Lady,1983,Drama,3.0,926,1223200.0
UK,Patty Hearst,1988,Biography,6.3,1523,1223326.0
India,Satyagraha,2013,Drama,5.9,4817,1223419.0
France,Le locataire,2016,Comedy,5.9,423,1223583.0
Germany,Die Unsichtbaren,2017,Biography,7.1,1067,1224098.0
