country,original_title,year,genre,avg_vote,worlwide_gross_income
USA,22 Jump Street,2014,Action,7,331333876
USA,Meet the Parents,2000,Comedy,7,330444045
USA,Who Framed Roger Rabbit,1988,Animation,7.7,329803958
USA,Black Swan,2010,Drama,8,329398046
USA,The Perfect Storm,2000,Action,6.4,328718434
Australia,'Crocodile' Dundee,1986,Action,6.6,328203506
China,Feng kuang de wai xing ren,2019,Comedy,5.7,327598891
USA,Se7en,1995,Crime,8.6,327333559
USA,John Wick: Chapter 3 - Parabellum,2019,Action,7.5,326709727
USA,The Devil Wears Prada,2006,Comedy,6.9,326705902
France,Taken 3,2014,Action,6,326479141
USA,The Hunchback of Notre Dame,1996,Animation,6.9,325338851
USA,A Christmas Carol,2009,Animation,6.8,325286646
USA,The SpongeBob Movie: Sponge Out of Water,2015,Animation,6,325186032
USA,Wonder,2017,Drama,8,323253714
USA,Schindler's List,1993,Biography,8.9,322287794
USA,Megamind,2010,Animation,7.2,321885765
USA,Green Book,2018,Biography,8.2,321752656
USA,Lethal Weapon 3,1992,Action,6.7,321731527
USA,The Ugly Truth,2009,Comedy,6.4,321682600
USA,Robin Hood,2010,Action,6.6,321669741
Germany,Inglourious Basterds,2009,Adventure,8.3,321455689
USA,101 Dalmatians,1996,Adventure,5.7,320689294
Canada,The Conjuring 2,2016,Horror,7.3,320392818
USA,Fatal Attraction,1987,Drama,6.9,320145693
India,Darling,2015,Comedy,6,320000000
India,Oka Laila Kosam,2014,Comedy,6,320000000
India,Stalin,2006,Action,5.9,320000000
USA,The Last Airbender,2010,Action,4,319713881
USA,The Conjuring,2013,Horror,7.5,319501756
USA,The Proposal,2009,Comedy,6.7,317375031
USA,A Beautiful Mind,2001,Biography,8.2,316791257
USA,Beverly Hills Cop,1984,Action,7.3,316360478
USA,Air Force One,1997,Action,6.5,315156409
USA,The Expendables 2,2012,Action,6.6,314975955
USA,Chicken Little,2005,Animation,5.7,314432837
USA,As Good as It Gets,1997,Comedy,7.7,314178011
USA,The Polar Express,2004,Animation,6.6,313500433
USA,Maze Runner: The Scorch Trials,2015,Action,6.3,312296056
USA,Resident Evil: The Final Chapter,2016,Action,5.5,312242626
USA,Austin Powers: The Spy Who Shagged Me,1999,Action,6.6,312016928
USA,The Lego Batman Movie,2017,Animation,7.3,311950384
USA,Ocean's Thirteen,2007,Action,6.9,311312624
USA,Little Fockers,2010,Comedy,5.5,310650585
USA,Bolt,2008,Animation,6.8,309979994
USA,Ransom,1996,Action,6.7,309492681
USA,Runaway Bride,1999,Comedy,5.6,309460292
USA,Knives Out,2019,Comedy,7.9,309232797
USA,The Blind Side,2009,Biography,7.6,309208309
China,Qian ren 3: Zai jian qian ren,2017,Comedy,5.5,307592427
USA,The Fault in Our Stars,2014,Drama,7.7,307166834
USA,The Pursuit of Happyness,2006,Biography,8,307127625
USA,Rise of the Guardians,2012,Animation,7.3,306941670
USA,Close Encounters of the Third Kind,1977,Drama,7.6,306899494
USA,Chicago,2002,Comedy,7.1,306776732
