production_company,year,original_title
BelLipoma Entertainment,2017,1
Believe Entertainment,2015,1
Bell Cow Films,2014,1
Bella Vita Entertainment,2010,1
Bellevue Productions,2015,1
Belligerent Seal Productions,2017,1
Bellwether Pictures,2012,1
Bellwether Pictures,2014,1
Benacus Productions,2018,1
Benaroya Pictures,2014,2
Benaroya Pictures,2018,1
Benaroya Pictures,2019,1
Benattar/Thomas Productions,2016,3
Benattar/Thomas Productions,2017,1
BenderSpink,2014,1
BenderSpink,2015,1
Benediction Productions,2016,1
Benetone Films,2017,1
Benetone Hillin Entertainment,2014,1
Bennett-Robbins Productions,2011,1
Berkshire Axis Media,2011,2
Berlanti Productions,2020,1
Bersin Pictures,2012,1
Bert Marcus Productions,2019,1
Besito Films,2011,1
Best Medicine Productions,2011,1
Bethsabée Mucho,2014,1
Bicephaly Pictures,2019,1
Bierlein Entertainment,2011,1
Biff Juggernaut Productions,2013,1
Bifrost Pictures,2014,2
Bifrost Pictures,2015,1
Big Bad Film,2015,1
Big Balloon Adventure Movie,2012,1
Big Bang Production,2010,1
Big Beach Films,2010,1
Big Beach Films,2011,1
Big Beach Films,2013,2
Big Beach Films,2015,2
Big Beach Films,2018,1
Big Biting Pig Productions,2010,1
Big Biting Pig Productions,2011,1
Big Biting Pig Productions,2012,1
Big Biting Pig Productions,2013,1
Big Biting Pig Productions,2016,1
Big Block Media Holdings,2016,1
Big Block Media Holdings,2017,2
Big Blue Marble Media,2016,1
Big Cat Productions,2018,1
Big Chief Entertainment,2013,1
Big Easy Pictures,2015,1
Big Fan Films,2014,1
Big Film Factory,2018,1
Big Gay Love,2013,1
Big Guy Films,2014,1
Big Heart Studios,2014,1
Big House Pictures (II),2018,1
Big Indie Pictures,2013,2
Big Indie Pictures,2015,1
Big Jack Productions,2017,1
Big Kid Films,2018,1
Big Other,2019,1
Big Picture Casting,2016,1
Big Picture Media,2015,1
Big Primpin Productions,2011,1
Big Puddle Films,2014,1
Big Rock Films,2017,1
Big Screen Entertainment Group,2013,1
Big Screen Productions,2014,1
Big Screen Productions V,2014,1
Big Screen Ventures,2010,1
Big Story Group,2015,1
Big Tree Productions,2011,1
Big Vision Empty Wallet,2016,1
Big Vision Empty Wallet,2017,1
Big Vision Empty Wallet,2018,1
Big Words,2013,1
Big World Pictures (II),2011,1
Big World Pictures (II),2016,1
Bill Kenwright Films,2018,1
Bill Plympton Studios,2013,1
Bill Zebub Productions,2010,1
Bill Zebub Productions,2011,2
Bill Zebub Productions,2015,1
Bill Zebub Productions,2016,1
Billy Goat Pictures,2011,1
Bipolar Films (II),2014,1
Birchwood Pictures,2012,1
Bird and a Bear Entertainment,2011,1
Birdman Films,2015,1
Birmingham Films,2017,1
Birthday Suit Productions,2018,1
Biscuit Pictures,2012,1
Bitter End Media Group,2016,1
Bitter Films,2012,1
Bizjack Flemco,2012,1
Black Bear Pictures,2013,1
Black Bear Pictures,2015,1
Black Bear Pictures,2016,2
Black Bear Pictures,2018,1
Black Bear Pictures,2019,2
Black Bear Pictures,2020,1
Black Bear Studios,2016,1
