country,original_title,year,genre,avg_vote,votes,budget,worlwide_gross_income
"USA, Germany, Ethiopia",Atletu,2009,"Biography, Drama",6.7,224,3450000.0,611.0
Belgium,Steve + Sky,2004,"Romance, Drama, Comedy",6.9,1264,750000.0,624.0
Canada,Edwin Boyd,2011,"Crime, Drama",6.2,4124,5000000.0,625.0
"UK, West Germany",The Last of England,1987,"Drama, Fantasy",6.7,1150,276000.0,630.0
"Bulgaria, Sweden, Netherlands",The Prosecutor the Defender the Father and His Son,2015,"Drama, War",6.7,171,2000000.0,635.0
USA,Gentlemen Prefer Blondes,1953,"Comedy, Musical, Romance",7.2,30759,2260000.0,648.0
USA,King Kong,1933,"Adventure, Horror, Sci-Fi",7.9,77507,670000.0,651.0
USA,Syrup,2013,"Comedy, Drama, Romance",5.7,10565,2500000.0,663.0
"Luxembourg, Belgium, Austria",Hot Hot Hot,2011,"Comedy, Drama",4.8,128,3000000.0,669.0
"UK, France, Luxembourg, USA",The Point Men,2001,"Action, Drama",4.4,1043,6100000.0,714.0
UK,Aux,2018,"Action, Horror, Thriller",4.3,291,20000000.0,725.0
UK,The Haunting,1963,Horror,7.5,33652,1400000.0,742.0
USA,Wings,1927,"Drama, Romance, War",7.5,11139,2000000.0,746.0
UK,Big Fat Gypsy Gangster,2011,"Action, Comedy, Crime",3.5,807,1300000.0,753.0
Singapore,Mei man ren sheng,2006,Drama,6.9,303,800000.0,756.0
Egypt,Microphone,2010,"Comedy, Drama, Music",7.2,1497,3500000.0,772.0
USA,Issues,2005,Comedy,5.6,103,50000.0,783.0
UK,The Tempest,1979,"Drama, Fantasy",6.4,955,150000.0,813.0
USA,Disfigured,2008,Drama,6.5,310,50000.0,829.0
USA,The Underground Comedy Movie,1999,Comedy,2.2,2424,170000.0,856.0
UK,The Tapes,2011,Horror,3.2,481,100000.0,880.0
"Germany, USA",In Her Line of Fire,2006,"Action, Drama",3.8,927,1000000.0,884.0
"Germany, Canada, Poland, USA",Julie Walking Home,2002,"Drama, Romance",6.3,932,5000000.0,892.0
"South Africa, USA",Beat the Drum,2003,Drama,7.1,662,1500000.0,895.0
USA,How to Be a Serial Killer,2008,"Comedy, Crime, Horror",5.5,1978,2000000.0,899.0
USA,High Strung,1992,Comedy,6.8,1922,300000.0,904.0
UK,Jubilee,1978,"Comedy, Drama, Fantasy",6.1,2821,200000.0,923.0
Denmark,Fuglene over sundet,2016,"Drama, History, War",6.2,621,7045000.0,926.0
Singapore,4:30,2005,Drama,6.7,494,400000.0,935.0
"Netherlands, South Africa, Ireland",The Bird Can't Fly,2007,Drama,6.5,188,2000000.0,938.0
Germany,Shanghai Baby,2007,Drama,4.4,167,7500000.0,954.0
USA,Midnight Son,2011,Horror,5.9,1695,3250000.0,973.0
USA,The Jimmy Show,2001,"Comedy, Drama",5.2,525,1500000.0,1000.0
