country,original_title,year,genre,avg_vote,votes,worlwide_gross_income
Italy,"Brutti, sporchi e cattivi",1976,Comedy,7.8,7527,7144.0
USA,ABCs of Death 2,2014,Comedy,5.4,7823,7171.0
USA,Kiss Me Deadly,1955,Crime,7.6,17998,7178.0
Belgium,L'étrange couleur des larmes de ton corps,2013,Horror,6.0,3510,7182.0
Sweden,Sommarlek,1951,Drama,7.6,5060,7200.0
Estonia,Klass,2007,Drama,7.9,14125,7205.0
Japan,Jigokumon,1953,Drama,7.2,3128,7375.0
USA,The Giant Mechanical Man,2012,Comedy,6.7,9485,7396.0
UK,The Baker,2007,Comedy,6.4,3428,7412.0
USA,Price Check,2012,Comedy,5.4,2119,7413.0
USA,Raze,2013,Action,5.2,5690,7429.0
USA,Boarding School,2018,Horror,5.8,2809,7438.0
Canada,Poker Night,2014,Crime,6.3,7755,7457.0
India,Udaan,2010,Drama,8.2,41595,7461.0
Iran,Maghzhaye Koochake Zang Zadeh,2018,Crime,7.6,3150,7474.0
USA,Limelight,1952,Drama,8.1,17670,7506.0
UK,Nina Forever,2015,Comedy,5.6,4396,7528.0
USA,Girls Against Boys,2012,Drama,4.8,3379,7529.0
France,Pickpocket,1959,Crime,7.7,19026,7541.0
Japan,Akasen chitai,1956,Drama,7.9,3680,7549.0
USA,Area 51,2015,Horror,4.2,12920,7556.0
UK,Look Back in Anger,1959,Drama,7.0,3326,7593.0
India,Raman Raghav 2.0,2016,Crime,7.4,12305,7612.0
USA,The Seven Year Itch,1955,Comedy,7.1,33327,7652.0
USA,While the City Sleeps,1956,Crime,7.0,5243,7652.0
India,Running Shaadi,2017,Comedy,6.6,2377,7674.0
USA,Witness for the Prosecution,1957,Crime,8.4,104524,7693.0
USA,Sweet Smell of Success,1957,Drama,8.1,27248,7704.0
USA,Pat Garrett & Billy the Kid,1973,Biography,7.3,17724,7717.0
South Africa,Young Ones,2014,Action,5.9,9119,7740.0
USA,Come Back to Me,2014,Fantasy,5.9,4840,7744.0
USA,And While We Were Here,2012,Drama,5.8,3633,7750.0
