production_company,original_title
CB Productions,1
CBS Films,13
CGF Films,1
CGFC,1
CH Productions,1
CJ Entertainment,1
CLM Productions,1
CNGM Pictures,1
COTA Films,2
CRA Entertainment,1
CRE8TIVE LANES,1
CS West Productions,1
CV Productions,1
CWM Entertainment,1
Cactus Films,1
Cadillac Films,1
Cafe Oscuro Films,1
Cailleach Productions,1
CalMaple,1
CalTex Films,2
Calendar Girl: The Movie,1
Caliber Media Company,4
California Pictures,2
Call Sheet Films,1
Callahan Filmworks,1
Camera Experiment,1
Cameron Productions,1
Camfam Studios,1
Camp 9 Films,1
Camp Digital,1
Campbell Grobman Films,1
Campfire,9
Campus Life Productions,1
Canal Street Films,1
Canal+,2
Candlewood Entertainment,1
Caney Fork Films,1
Cannonball Productions,2
Cannonball of Death,1
Cantuckee Pictures,1
Canyon Media,1
Capacity Pictures,2
Capacity Productions,1
Capital Arts Entertainment,5
Capital Love,1
Cappricielli,1
Capstone Film Group,1
Captureglass Pictures,2
Caracol,1
Carcass Studios,2
Cardinalwood Content,1
Caretaker Production Company,1
Carilliam Pictures,1
Carlini Entertainment,1
Carnivale Productions,1
Carolines Entertainment,1
Caronova Pictures,1
Carousel Productions (II),1
Cart Before The Horse Productions,1
Cartel Pictures,29
Cartoon Network Studios,2
Caruso / Mendelsohn Productions,1
Cascade Pictures,1
Casey Silver Productions,1
Casita Films,1
Caspian Pictures,1
Cassidy Red,1
Cassiopeia Pictures,1
Cast Shadow Productions,1
Castel Film Romania,1
Castle Rock Entertainment,3
Castle Shore Films,1
Castle in the Sky Productions,1
Castlight Pictures,2
Cat In The Mill Studio,1
Cat Productions,1
CatRock Creatives,1
Catapult Entertainment Group,1
Catch the Sun,1
Caterpillar Event Productions,1
Catfish Productions,1
Cathartic Films,1
Cave Pictures,1
Caviar,3
Cayo Largo Productions,1
Cedar Park Entertainment,1
Cellar Door Films,1
Cellardoor Cinema,2
Center West Movement,1
Central City Studio,1
Centropolis Entertainment,1
Centurion Cinema Company LLC,1
Certainty Films,1
Cervidae Films,1
Chabo Films,1
Chain Gang Films,1
Chameleon Arts Entertainment,1
Chameleon Entertainment,1
Champions of the Cosmos,1
Chankin Entertainment,3
Channel 83 Films,3
Channel Awesome,2
Chaotic Sequence,1
Chaotik,1
Chapman Filmed Entertainment,1
Charlemont Pictures,1
Charles Agron Productions,2
Charley Gap Films,2
Charlie Baby Productions,1
Charter Management,1
Charterhouse Films,1
Chase Films,1
Chasing Butterflies,1
Chasing Butterflies Pictures,1
Chasing Sunsets,1
Chavez Bros. Productions,1
Check the Gate Productions,1
Cheesy Nuggets Productions,1
Cheetah Vision,2
Chernin Entertainment,5
Cherry Movie,1
Cherry Sky Films,3
Chestnut Tree Films,1
Chheda Films,1
Chicago Media Angels,1
Chicago Media Project,1
Chickasaw Nation Productions,1
Chicken And Egg Pictures,1
Chicken Bear Productions,1
Chicken Teriyaki Bingo,1
Chiller Films,6
Cho Man Ro Enterprises,1
Chodd Productions,1
Choice Films,3
Choose Films,1
Chris Kasick Company,1
Chris Lee Productions,1
Chronicle Factory,2
ChubbCo Film,1
ChurcHiE Prods,1
Chydzik Media Group,1
Cicala Filmworks,1
Cima Productions,3
Cine Mosaic,1
Cine Relevante,1
CineForge Media,1
CineRidge Entertainment,13
CineScope Media,1
CineVia,1
Cinedigm,1
Cinedigm Entertainment Group,2
Cineline Productions,1
Cinelou Films,7
Cinema 175,3
Cinema Epoch,3
Cinema Factory,1
Cinema Island Productions,1
Cinema Lapiniere,1
Cinema Management Group,1
Cinema Revival,1
Cinema Saville,1
Cinema Tale,1
CinemaTide,1
CinemaWerks,1
Cinemand,3
Cinemarket Films,1
Cinemassacre Productions,1
Cinematic Pictures,1
Cinematic Titanic,2
Cinereach,5
Cinestar Pictures,1
Cinestyle Media Group,1
Cinetel Films,6
Cineville,3
Cineworx,1
Cinipix,1
Circle Content,1
Circle of Confusion,3
Circus King Productions,1
Circus Wheel Productions,1
Citadel Film Group,1
Citizen Skull Productions,2
City of Peace Films,1
Claang Entertainment,1
Claire Films,1
Clam Productions,1
Class 5 Films,1
Class Laboratory,1
Class of 85,1
Class of 85 LLC,1
Classified Pictures,1
Clay Bros. Motion Pictures,1
Clayface Pictures,1
Clear Eye Productions,1
Clear Pictures Entertainment,1
Clearlight Entertainment,1
Cleopatra Entertainment,6
Cleopatra Records,1
Clever Creatures,1
Clever Lever Pictures,1
Cliffbrook Films,1
Cliffside Productions,1
Clindar,1
Clinger The Movie,1
Clinica Estetico,1
Clink Productions,1
Clockwork Mind Pictures,1
Closest to the Hole Productions,2
Closing Time Productions,1
Clothespin Films,1
Cloud Walkers Entertainment,1
Cloudcover Films,1
Cloverhill Pictures,3
Clown Face Productions,1
Clown Town Productions,1
Clownfish Productions,1
ClubNano Films,1
Clubhouse Pictures (II),2
Clyde Vision Films,1
Co-Op Entertainment,1
CoNation Film Productions,1
Coal Train Productions,1
Coalition Group,1
CoatTail Entertainment,1
Coatwolf Productions,1
Cocksure Entertainment,2
Cocollala Pictures,1
Code 3 Films,1
Code Blue Pictures,1
Code Red,2
Code of Honor,1
Codeblack Entertainment,4
Codeblack Films,4
Coffee Shop Movie,1
Cognetti Films,3
Cohen Media Group,1
Cohesive Entertainment Group (CEG),1
Cohort Films,1
Colab Studios,1
Cold Arrow Productions,1
Cold Beer Friday,1
Cold Cockle Productions,1
Cold Iron Pictures,4
Coldwater Bluemoon,1
Collage Fossil,1
Collective Development,7
CollegeHumor,1
Collusion Films,1
Color Force,2
Color Green Films,1
Colorfast Pictures,1
Colossal Theatre,1
Colton Productions,1
Columbia Pictures,50
Coma Productions,1
Combustion Films,1
Comedy Central,1
Comedy Central Films,1
Comedy Dynamics,2
Commonwealth Film Manufacturing,1
Compadre Entertainment,1
Company Films,2
Company Motion Pictures,1
Company X,2
Compass Entertainment,2
Compound B,1
Compulsion Films,1
Computer Chess,1
Conation,1
Concept Media,2
Concord Films,3
Concrete Images,1
Concrete Media,1
Conde Nast Entertainment,1
Cone Arts,1
Confluential Films,2
CongestedCat Productions,1
Conglomerate Media,5
Conquistador Entertainment,1
Conrad Studios,1
Consolidated Media Holdings,1
Conspicuous Pictures,2
Conspiracy Reels,1
Constantly Curious Productions,1
Contend,1
